english,taagra,pos,syn,notes
examinations,afona'a,n,"evaluations, assessments, inspections, investigations",
except,sik,cj/pr/v,,
excuse,wakay,n,,
excuses,wakay'a,n,,
expect,ikeno,v,"expects, expecting, anticipate, anticipates, anticipating, foresee, foresees, foreseeing, presume, presumes, presuming",
expectation,ikenona,n,"anticipation, presumption",
expectations,ikenona'a,n,"anticipations, presumptions",
expected,ikenoka,v,"anticipated, foresaw, presumed",
expensive,zabish,adj,"costly, precious, valuable",
explain,vuro,v,"explains, explaining, clarify, clarifies, clarifying, describe, describes, describing, expound, expounds, expounding",
explained,vuroka,v,"clarified, described, expounded",
explanation,vurona,n,"clarification, description",
explanations,vurona'a,n,"clarifications, descriptions",
explode,pewapa,v,"explodes, exploding",
exploded,pewapaka,v,,
explosion,pewapana,n,,
explosions,pewapana'a,n,,
eye,atha,n,,
eyeless,athozay,adj,,
eyes,atha'a,n,,
face,ifo,n,,
faceless,ifozay,adj,,
faces,ifa,n,,
fail,basar,v,"fails, failing",
failed,basarka,v,,
failure,basarna,n,,
failures,basarna'a,n,,
fall,ranjith,v,"falls, falling",
falmer,owazmer,n,Snow Elf,"Lit. ""Snow Elf"""
falmeri,owazmeri,adj,,
FALSE,suth,adj,"fake, counterfeit, bogus, erroneous, fraudulent, inaccurate, invalid, illegitimate, untrue, unreal, incorrect, phony",
falsehood,suthna,n,"deception, fabrication, fallacy, falsity, sham, inaccuracy, illegitimacy",
falsehoods,suthna'a,n,"deceptions, fabrications, fallacies, falsities, shams, inaccuracies, illegitimacies",
families,epaka,n,,
family,epako,n,kin,
famous,epazi,adj,,
far,valah,adj/adv,,
farm,famad,n,,A farm
farm,famadith,v,"farms, farming",To farm
farmer,famer,n,,
farmers,famera,n,,
farms,famada,n,,
fast,fede,adj,,
fat,gamin,adj,"obese, chubby, plump, overweight, heavy, corpulent, portly, rotund, pudgy",
fate,zisa,n,destiny,
fates,zisa'a,n,destinies,
father,ahnurr,n,dad,
fathers,ahnurra,n,dads,
fatness,gamina,n,"obesity, chubbiness, pumpness, corpulence",
favor,gzonith,v,"favors, favoring",
favor,gzono,n,,
favored,gzonithka,v,,
favors,gzona,n,,
fear,qoj,n,"anxiety, dread, horror, panic, fright, terror",A fear
fear,qojith,v,"fears, fearing, scare, scares, scaring, horrify, horrifies, horrifying, frighten, frightens, frightening, terrorize, terrorizes, terrorizing",To fear
feared,qojithka,v,"scared, horrified, frightened, terrorized",
fearless,qojozay,adj,,
fears,qoja,n,"anxieties, horrors, terrors",
feather,kruteso,n,,
feathers,krutesa,n,,
february,magru'srenaz,n,Sun's Dawn,"Abbreviation: ""Ms"""
fed,giraka,v,,
feed,gira,v,"feeds, feeding",
feel,nezal,v,,
feeling,nezalna,n,emotion,
feelings,nezalna'a,n,emotions,
feet,dhassa,n,,Body part
feet*,futa,n,,"Measurement, borrowed word from Cyrodiilic"
fell,ranjithka,v,,
felt,nezalka,v,,
festival,bay'arri,n,"fair, carnival, celebration, fiesta, jamboree",
festivals,bay'arra,n,"fairs, carnivals, celebrations, fiestas, jamborees",
feud,tuzdith,v,"feuds, feuding, conflict, conflicts, conflicting, squabble, squabbles, squabbling, quarrel, quarrels, quarreling, dispute, disputes, disputing, disagree, disagrees, disagreeing",
feud,tuzdo,n,"conflict, squabble, quarrel, dispute, disagreement",
feuded,tuzdithka,v,"conflicted, squabbled, quarreled, disputed, disagreed",
feuds,tuzda,n,"conflicts, squabbles, quarrels, disputes, disagreements",
fifth,vutu,adj/adv/n,,Ordinals: number +tu
fifty,vude,n,,
fight,rak,v,"fights, fighting, brawl, brawls, brawling, tussle, tussles, tussling",
fight,rakna,n,"battle, brawl, tussle",
fights,rakna'a,n,"battles, brawls, tussles",
find,tosuv,v,"finds, finding",
finger,zedu,n,,
fingers,zeda,n,,
fire,ako,n,,
fires,aka,n,,
first,fatu,adj/adv/n,,Ordinals: number +tu
fish,marha,n,,
fishes,marha'a,n,,
fishy,marha'i,adj,,
five,vu,n,,
fix,eks,v,"fixes, fixing, repair, repairs, repearing, correct, corrects, correcting, mend, mends, mending",
fixed,ekska,v,"repaired, corrected, mended",
fixer,eksiit,n,"repairer, mender",
fixers,eksiit,n,"repairers, menders",
flat,metin,adj,,
flaw,truqo,n,"error, blemish, fault, defect",
flawed,truqi,adj,"blemished, defective, faulty",
flawless,truqozay,adj,"errorless, faultless, spotless",
flaws,truqa,n,"errors, blemishes, faults, defects",
flew,thoshka,v,,
flight,thoshna,n,,
flightless,thoshozay,adj,,
flights,thoshna'a,n,,
floor,jrobi,n,,
floors,jroba,n,,
flower,kalshan,n,,
flowers,kalshan,n,,
flute,mizam,n,,
flutes,mizama,n,,
fly,thosh,v,"flies, flying",
foci,q'daina'a,n,,
focus,q'dai,v,"focuses, focusing",
focus,q'daina,n,attention,
focused,q'daika,v,,
fog,badab,n,"haze, mist",
foggy,badabi,adj,"hazy, misty",
fogs,badaba,n,"hazes, mists",
follow,mavos,v,"follows, following, pursue, pursues, pursuing",
followed,mavoska,v,pursued,
follower,mavosiit,n,supporter,
followers,mavosiit,n,supporters,
food,taj,n,cuisine,
foods,taja,n,cuisines,
fool,thjiziit,n,,
foolish,thjiz,adj,,
fools,thijziit,n,,
foot,dhass,n,,Body part
foot*,fut,n,,"Measurement, borrowed word from Cyrodiilic"
for,dorr,cj/pr,,
force,zeri,n,,A force
force,zerith,v,"forces, forcing",To force
forced,zerithka,v,,
forceful,zeri'i,adj,,
forces,zera,n,,
forest,vana,n,,
forested,vana'i,adj,,
forests,vana'a,n,,
forget,rajas,v,"forgets, forgetting",
forgetful,rajasi,adj,,
forgot,rajaska,v,,
fork,suskre,n,,
forks,suskra,n,,
fort,krosho,n,"castle, base, citadel, hold",
forts,krosha,n,"castles, bases, citadels, holds",
fought,rakka,v,"brawled, tussled",
found,baqu,adj,,
found,tosuvka,v,,
four,san,n,,
fourth,santu,n/adj/adv,,Ordinals: number +tu
fourty,sande,n,,
fox,jua,n,,
foxes,jua'a,n,,
foxy,jua'i,adj,,
free,ravi,adj,,
free,ravith,v,"frees, freeing, release, releases, releasing",To free
freed,ravithka,v,released,
freedom,rava,n,,
friday,marapal,n,fredas,"Abbreviation: ""mp"""
friend,trevan,n,"acquaintance, ally, associate, buddy, colleague, comrade",
friendless,trevanozay,adj,,
friendly,trevani,adj,,
friends,trevana,n,"acquaintances, associates, buddies, colleagues, comrades",
from,#NAME?,suf,,"Ablative noun case suffix.  Append to the noun it is associated with.  e.g. ""from Torval"" is ""Torvaliitay"""
front,nik,n/adj,,
fruit,shobi,n,,
fruits,shoba,n,,
fruity,shobi'i,adj,,
full,teko'i,adj,,
fun,pa,n/adj,entertaining,
fungi,sashkra,n,mushrooms,
fungus,sashkre,n,mushroom,
fur,sej,n,,
furies,ra'kuja,n,"rages, outrages",
furious,ra'kuji,adj,furious,
furless,sejozay,adj,,
furry,seji,adj,,
furs,seja,n,,
fury,ra'kujo,n,"rage, outrage",
future,musta,n/adj,"forthcoming, later",Past/Present/Future
futures,musta'a,n,,
gallop,fekame,v,"gallops, galloping",
galloped,fekameka,v,,
game,zhab,n,,
games,zhaba,n,,
garden,jana,n,,
gardens,jana'a,n,,
gave,danka,v,"delivered, provided, bestowed, granted",
gem,shije,n,"crystal, jewel, gemstone",
gems,shija,n,"crystals, jewels, gemstones",
gender,afeto,n,,Boy/girl
genders,afeta,n,,
general,rak't'har,n,,"Lit. ""fighting leader"""
generals,rak't'hara,n,,
gesture,mudra,n,signal,
gesture,mudrith,v,"gestures, gesturing, signal, signals, signaling",
gestured,mudrithka,v,signaled,
gestures,mudra'a,n,signals,
get,yava,v,"gets, getting, acquire, acquires, acquiring, obtain, obtains, obtaining, receive, receives, receiving, collect, collects, collecting",
gift,sarefi,n,present,
gifts,sarefa,n,presents,
girl,iiliten,n,,
girlfriend,aritrevan,n,,"Gender neutral, Lit. ""love friend"""
girlfriends,aritrevana,n,,
girls,iilitena,n,,
girly,iiliteni,adj,girlish,
give,dan,v,"gives, giving, deliver, delivers, delivering, provide, provides, providing, bestow, bestows, bestowing, grant, grants, granting",
glass,zukoa,n,,
glasses,zukoa'a,n,,
glories,hadal-ziira,n,"honors, fames, prestiges",
glory,hadal-ziir,n,"honor, fame, prestige",
glove,tenoqami,n,"mitt, mitten",
gloves,tenoqama,n,"mitts, mittens",
go,khi,v,"goes, going, proceed, proceeds, proceeding",
goat,peko,n,,
goats,peka,n,,
god,alij,n,,
goddess,ro'alij,n,,
godless,alijozay,adj,,
godlike,aliji,n,,
gods,alija,n,,
gold,zivsho,n,,
golden,zivsho'i,adj,,
golds,zivsha,n,,
good,do,adj,,
got,yavaka,v,"acquired, obtained, received, collected",
grain,bajush,n,,
grains,bajusha,n,,
grandchild,mama,n,,
grandchildren,mama'a,n,,
granddaughter,ma'tal,n,,
granddaughters,ma'tala,n,,
grandfather,ra'ahnurr,n,,
grandfathers,ra'ahnurra,n,,
grandmother,ro'fado,n,,
grandmothers,ro'fada,n,,
grandparent,ra'barun,n,,
grandparents,ra'baruna,n,,
grandson,ma'jor,n,,
grandsons,ma'jora,n,,
grape,vatovu,n,,
grapes,vatova,n,,
grass,shenjhihi,n,,
grasses,shenjhiha,n,,
gray,dugo,adj/n,,
grays,duga,n,,
green,hejta,adj/n,,
greens,hejta'a,n,,
greet,drasith,v,"greets, greeting",
greeted,drasithka,v,,
grew,jrantithka,v,,
grin,krin,n,,A grin.  Homonym of laugh.
grin,krinith,v,"grins, grinning",To grin
grinned,krinithka,v,,
grins,krina,n,,
ground,jijri,n,,
grow,jrantith,v,"grows, growing",
growl,qrarr,v,"growls, growling",To growl
growl,qrarrna,n,,A growl
growled,qrarrka,v,,
growls,qrarrna'a,n,,
had,rabeka,v,,"""We/you/y'all/they had"" Irregular verb"
had,raber,v,,"""I had"", Irregular verb"
had,rabera,v,,"""He/she/it had"", Irregular verb"
hair,shabi,n,,
hairless,shabozay,adj,,
hairs,shaba,n,,
hairy,shabi'i,adj,,
half,aqo,n,,
hammer,takji,n,mallet,
hammer,takjith,v,"hammers, hammering",
hammered,takjithka,v,,
hammers,takja,n,mallets,
hand,teno,n,paw,
hands,tena,n,paws,
handsome,raijo,adj,,
handsomeness,raijona,n,,
hang,foha,v,"hangs, hanging",
happiness,karana,n,"joy, cheer, mirth",
happy,kara,adj,"joyful, joyous, cheerful, mirthful",
hard,katro,adj,"solid, tough, firm",
hardly,bishi,adv,"scarcely, barely",
hardness,katrona,n,"solidity, toughness, firmness",
harvest,husha,n,,A harvest
harvest,hushith,v,"harvests, harvesting",To harvest
harvested,hushithka,v,,
harvests,husha'a,n,,
has,rabiba,v,"having, possess, possesses, possessing","""He/she/it has"", Irregular verb"
haste,fifeh'raina,n,speed,
hat,srato,n,"cap, helmet",
hatchet,ja'balto,n,,
hatchets,ja'balta,n,,
hate,yath,v,"hates, hating, loathe, loathes, loathing, abhor, abhors, abhorring, despise, despises, despising, detest, detests, detesting",
hated,yathka,v,"loathed, abhorred, despised, detested",
hateful,yathi,adj,"abhorrent, despicable, detestable",
hatred,yathna,n,"enmity, disdain, animosity, loathing",
hats,srata,n,"caps, helmets",
have,raba,v,"having, possess, possesses, possessing","""We/you/y'all/they have"", Irregular verb"
have,rabi,v,"having, possess, possesses, possessing","""I have"", Irregular verb"
hawk,korotho,n,"falcon, eagle",
hawks,korotha,n,"falcons, eagles",
he,jan,pn,,
he's:,jaba,cont,,
head,baze,n,,
headless,bazozay,adj,,
heads,baza,n,,
heal,zalith,v,"heals, healing, recover, recovers, recovering",
healed,zalithka,v,recovered,
healer,zalrishajiit,n,"shaman, mender",
healers,zalrishajiit,n,"shamans, menders",
health,zal,n,,
healthiness,zalina,n,,
healthy,zali,adj,,
hear,aro,v,"hears, hearing",
heard,aroka,v,,
hearing,arona,n,,"Ability to hear, not present participle of ""to hear"""
heart,sunej,n,,Literal heart
heart*,khunu'tu,n,,Metaphorical heart
heartless,sunejozay,adj,,
hearts,suneja,n,,
heat,fithith,v,"heats, heating",To heat
heated,fithithka,v,,
heavy,hokoh,adj,,
height,alina,n,,
held,shotaka,v,contained,
hello,dras'kay,exc,"greetings, salutations",
help,zatay,v,"helps, helping, assist, assists, assisting, aid, aids, aiding",
help,zatayna,n,"assistance, aid",
helped,zatayka,v,"assisted, aided",
helper,zatiit,n,"assister, aider",
helpers,zatiit,n,"assisters, aiders",
her,roj,pn,,
here,etofor,adv,,
hermaeus,hermorah,n,,Hermorah is the Khajiiti name for Hermaeus Mora
hers,roj,pn,,
herself,rojno,pn,,
hexagon,shoseve,n,,
hexagons,shoseva,n,,
hi,dras,exc,"hi, howdy, yo",
high,ali,adj,,
hill,ja'khedun,n,,
hills,ja'kheduna,n,,
him,jan,pn,,
himself,janno,pn,,
his,jan,pn,,
hiss,fassaa,v,"hisses, hissing",
hissed,fassaaka,v,,
hold,shota,v,"holds, holding, contain, contains, containing",
hole,basit,n,,
holes,basita,n,,
hollow,juna,adj,"empty, void, unfilled, vacant",
home,pana,n,,
homeless,panozay,adj,,
homes,pana'a,n,,
honey,kirma,n,,
honeys,kirma'a,n,,
honor,zeto,n,,
honorable,zeti,adj,,
honorless,zetozay,adj,,
honors,zeta,n,,
horse,kafa,n,"stallion, mare, gelding",
horses,kafa'a,n,"stallions, mares, geldings",
hot,fith,adj,,
hour,viha,n,,
hours,viha'a,n,,
house,paj,n,shelter,A house
house,pajith,v,"houses, housing, shelter, shelters, sheltering",To house
housed,pajithka,v,sheltered,
houses,paja,n,shelters,
how,rik,adv/cj/n,,
hug,ujith,v,"hugs, hugging, embrace, embraces, embracing, squeeze, squeezes, squeezing",To hug
hug,ujo,n,,A hug
huge,iya,adj,"great, giant, immense, vast, enormous, massive",
hugeness,iyana,n,"greatness, magnitude, immensity, vastness, enormity, massiveness",
hugged,ujithka,v,"embraced, squeezed",
hugs,uja,n,,
humor,fapa,n,"wit, wits, mirth",
humor,fapith,v,"humors, humoring",
humored,fapithka,v,,
humorless,fapozay,adj,mirthless,
humorous,fapi,adj,"funny, amusing, hilarious, jocular, comical, witty",
hundred,janto,n,,
hundreds,janta,n,,
hung,fohaka,v,,
hunger,droba,n,,
hungry,droba'i,adj,,
hunt,hirsinith,v,"hunts, hunting, track, tracks, tracking",
hunted,hirsinithka,v,tracked,
hunter,hirsiniit,n,tracker,
hunters,hirsiniit,n,trackers,
hurricane,ra'torfo,n,"gale, typhoon, tornado",
hurricanes,ra'torfa,n,"gales, typhoons, tornados",
hurried,fifeh'raika,v,"hastened, hustled",
hurry,fifeh'rai,v,"hurries, hurrying, hasten, hastens, hastening, hustle, hustles, hustling",
husband,tot,n,,
husbands,tota,n,,
hut,ja'paj,n,,
huts,ja'paja,n,,
i,ahziss,pn,,
ice,kria,n,,
ices,kria'a,n,,
idiot,wafiit,n,moron,
idiots,wafiit,n,morons,
if,ike,cj,,
image,watifad,n,,
images,watifada,n,,
imperial,imperial,n,,
importance,irotna,n,,
important,irot,adj,,
impossibilities,hodohna'a,n,"unachievabilities, unattainabilities, infeasibilities, absurdities, futilities, insurmountabilities",
impossibility,hodohna,n,"unachievability, unattainability, infeasibility, absurdity, futility, insurmountability",
impossible,hodoh,adj,"unachievable, unattainable, infeasible, absurd, futile, insurmountable",
in,shabar,adj/adv/pr,into,
incense,gatay,n,perfume,
incenses,gatay'a,n,perfumes,
inch,ins,n,,Borrowed word from Cyrodiilic
inches,insa,n,,
infuriate,ra'kujith,v,"infuriates, infuriating, enrage, enrages, enraging",
infuriated,ra'kujithka,v,enraged,
infuriating,ra'kuji,adj,outraging,
injuries,domjha'a,n,wounds,
injury,domjha,n,wound,
inn,ikepa,n,,
inns,ikepa'a,n,,
insane,sheggorri,adj,"crazy, mad",
insanity,sheggorr,n,"craziness, madness",
insect,ma'jot,n,bug,
insects,ma'jota,n,bugs,
inside,shaseve,pr/adv/adj/n,,
interrupt,qato,v,"interrupts, interrupting, pause, pauses, pausing, suspend, suspending, suspends",
interrupted,qatoka,v,"paused, suspended",
interruption,qatona,n,"pause, suspension",
interruptions,qtona'a,n,"pauses,  suspensions",
invest,shabaja,v,"invests, investing, fund, funds, funding, finance, finances, financing, subsidize, subsidizes, subsidizing, bankroll, bankrolls, bankrolling, underwrite, underwrites, underwriting",
invested,shabajaka,v,"funded, financed, subsidized, bankrolled, underwrote",
investment,shabajana,n,,
investments,shabajana'a,n,,
iron,hara,n,,
is,vaba,v,,"""He/she/it is"", Irregular verb"
is not,naba,v,isn't,"""He/she/it is not"", Irregular verb"
island,tomir,n,,
islands,tomira,n,,
it,dat,pn,,
it's,daba,cont,,
its,dat,pn,,
itself,dat'no,pn,,
january,oonsilla,n,Morning Star,"Abbreviation: ""Os"""
jewelry,jelwi,n,,
job,zrishna,n,"task, assignment, duty, responsibility, project",
jobless,zrishozay,adj,unemployed,
jobs,zrishna'a,n,"tasks, assignments, duties, responsibilities, projects",
jode,zennji,n,masser,
jone,zennrili,n,secunda,
journey,khisrith,v,"journies, journying, adventure, adventures, adventuring, quest, quests, questing, voyage, voyages, voyaging, trek, treks, trekking",
journey,khisro,n,"adventure, quest, voyage, trek, expedition, excursion, mission, trip, outing",
journied,khisrithka,v,"adventured, quested, voyaged, trekked",
journies,khisra,n,"adventures, quests, voyages, treks, expeditions, excursions, missions, trips, outings",
juice,sronup,n,nectar,A juice
juice,sronupith,v,"juices, juicing",To juice
juices,sronupa,n,nectars,
july,magrus'ali'i,n,Sun's Height,"Abbreviation: ""Ma"""
jump,jape,v,"jumps, jumping, spring, springs, springing, hop, hops, hopping",To jump
jump,japena,n,,A jump
jumped,japeka,v,"sprang, hopped",
june,kumashivat,n,Mid Year,"Abbreviation: ""Kv"""
just,deje,adv,"merely, only, simply, purely",
keep,sri,v,"keeps, keeping, retain, retains, retaining",
kept,srika,v,retained,
key,ziwo,n,,
keys,ziwa,n,,
kill,var dar,v,"kills, killing, murder, murders, murdering, slay, slays, slaying","Lit. ""sugar/life steal"""
killed,var darka,v,"murdered, slayed",
killer,vardariit,n,"murderer, slayer",
killers,vardariit,n,"murderers, slayers",
kind,darr,n,"type, category, variety",
kindness,eshona,n,,
king,aran,n,,
kings,arana,n,,
kiss,liski,v,"kisses, kissing",To kiss
kiss,liskina,n,,A kiss
kissed,liskika,v,,
kisses,liskina'a,n,,
kitchen,tajvos,n,galley,
kitchens,tajvosa,n,galleys,
kitten,ja'khajiit,n,,Khajiiti kitten
kitten,ja'qara,n,"kitty, cub","Specifically non-khajiit, but can be used to refer to khajiit in a more casual/derogatory fashion"
kittens,ja'khajiit,n,,
kittens,ja'qara'a,n,"kitties, cubs",
knee,hotho,n,,
knees,hotha,n,,
knew,korka,v,,
knife,ketud,n,,
knight,pelin,n,"cavalier, champion, chevalier, horseman, paladin",
knights,pelina,n,"cavaliers, champions, chevaliers, horsemen, paladins",
knives,ketuda,n,,
know,kor,v,"knows, knowing, understand, understands, understanding",
knowledge,korna,n,"information, wisdom, expertise, insight, philosophy, lesson",
kynareth,khenarthi,n,,Khenarthi is the Khajiiti name for Kynareth
laid,pefoka,v,,Past tense of lay
lake,lesoge,n,,
lakes,lesoga,n,,
lamb,ma'jekos,n,,
lambs,ma'jekosa,n,,
land,oro,n,territory,
lands,ora,n,territories,
large,jaga,adj,big,
last,zedro,adj/adv/n,,
late,luk,adj/adv/n,,
laugh,krin,n,,A laugh.  Homonym of grin.
laugh,krinith,v,"laughs, laughing",To laugh
laughed,krinithka,v,,
laughs,krina,n,,
law,laa,n,,Borrowed word from Cyrodiilic
laws,laa'a,n,,
lawyer,aliit,n,,Irregular
lawyers,aliit,n,,Irregular
lay,lurmaka,v,,Past tense of lie(position)
lay,pefo,v,"lays, laying",To put or place in a horizontal position or position of rest; set down.  Not paste tense of lie(position)
leaf,ayzru,n,,
learn,dela,v,"learns, learning, study, studies, studying",
learned,delaka,v,studied,
least,esato,adj/adv,,"Used for all comparative adjectives (e.g. tall, least tall)"
leave,gada,v,"leaving, leaves, depart, departs, departing, quit, quits, quitting, exit, exits, exiting",
leaves,ayzra,n,,
left,gadaka,v,"departed, quit, exited",
left,nuruj,adj/adv/n,,Left/Right
leg,thas,n,,
legs,thasa,n,,
lemon,wize,n,,
lemons,wiza,n,,
length,sutana,n,,
less,eso,adj/adv,,"Used for all superlative adjectives (e.g. tall, less tall)"
letter,mino,n,"note, missive",Not alphabet letters
letter,mirese,n,,Part of the alphabet
letters,mina,n,"notes, missives",Not alphabet letters
letters,miresa,n,,Part of the alphabet
libraries,jabopaja,n,,
library,jabopaj,n,,
lick,reli,n,,
lick,relith,v,"licks, licking",
licked,relithka,v,,
licks,rela,n,,
lie,lurma,v,"lies, lying",To be or to stay at rest in a horizontal position
lie,yosh,n,"fib, deception",A lie/fib
lie,yoshith,v,"lies, lying, fib, fibs, fibbing, deceive, deceives, deceiving",To lie/fib
lied,yoshithka,v,"fibbed, deceived",Past tense of lie(fib)
lies,yosha,n,"fibs, deceptions",
lieutenant,lutet,n,,Borrowed word
lieutenants,luteta,n,,
life,vijah,n,,"The proper word for ""life"""
life*,var,n,,"""Var"" as life is a non-literal term, though commonly used"
lifeless,vijozay,adj,,
lift,feta,v,"lifts, lifting, raise, raises, raising",
lifted,fetaka,v,raised,
light,aqir,adj,lightweight,Light/Heavy
light,luz,adj/n,,Normal light (e.g. torchlight)
light*,siir,adj/n,,Heavenly light (e.g. moonlight)
lightless,luzozay,adj,,
lightless*,siirozay,adj,,
lightning,gasiiq,n,,
like,ifu,adj/adv/cj/pr,similar,"Similarity, not enjoyment (see enjoy)"
likeness,ifuna,n,"similarity, resemblance, semblance",
likenesses,ifuna'a,n,"similarities, resemblances, semblances",
line,ujki,n,"row, column",
lines,uhka,n,"rows, columns",
lip,trisa,n,,
lips,trisa'a,n,,
list,taash,n,,
list,taashith,v,"lists, listing",
listed,taashithka,v,,
listen,arota,v,"listens, listening",
listened,arotaka,v,,
lists,taasha,n,,
live,var,v,"lives, living",
lived,varka,v,,
lives,vara,n,,
location,tele,n,place,
locations,tela,n,places,
lock,kurodat,n,,
locks,kurodata,n,,
long,suta,adj,,
loose,slesan,adj,,
lorkhaj,zhubhal'jay,n,ghost moon,"""Ghost Moon"" is an altername name for Lorkhaj"
lorkhan,lorkhaj,n,,Lorkhaj is the Khajiiti name for Lorkhan
lose,vitu,v,"loses, losing",
loss,vituna,n,,
losses,vituna'a,n,,
lost,vitu'i,adj,,Being lost
lost,vituka,v,,Past tense of lose
loud,da'ij,adj,noisy,
loudness,da'ijna,n,"noise, din",
love,ari,v,"loves, loving",To love
love,arina,n,romance,Love
loved,arika,v,,
loveless,arozay,adj,,
lover,ariit,n,,
lovers,ariit,n,,
lovey,ari'i,adj,loving,
low,bushai,adj,,
loyal,sadi,adj,"faithful, staunch, steadfast, constant, reliable, dependable",
loyalties,sadina'a,n,"constancies, reliabilities, dependabilities",
loyalty,sadina,n,"faithfulness, staunchness, steadfastness, constancy, reliability, dependability",
luck,sharra,n,fortune,
lucky,sharra'i,adj,fortunate,
luminous,sala,adj,"radiant, dazzling",
lunch,sotsha,n,,
lunches,sotsha'a,n,,
lute,awad,n,guitar,
lutes,awada,n,guitars,
lyre,qithar,n,harp,
lyres,qithara,n,harps,
mace,rak'takji,n,,"Lit. ""fight hammer"""
maces,rak'takja,n,,
made,raska,v,"created, crafted",
mage,rishajiit,n,"wizard, sorcerer",
mages,rishajiit,n,"wizards, sorcerers",
magicka,rishaj,n,magic,
magickal,rishaji,adj,magical,
magnus,magrus,n,,Magrus is the Khajiiti name for Magnus
major,majo,n,,Borrowed word
majors,maja,n,,
make,ras,v,"makes, making, create, creates, creating, craft, crafts, crafting",
man,ariit,n,"guy, male",Irregular
manage,ete,v,"manages, managing, administer, administers, administering, direct, directs, directing, control, controls, controlling, guide, guides, guiding, lead, leads, leading",
managed,eteka,v,"administered, directed, controlled, guided, led",
manager,etiit,n,"administrator, director, guided",
managers,etiit,n,"administrators, directors",
mane,rid-t'har,n,,The Mane
manly,ariiti,adj,masculine,
many,na,adj/det/pn,"much, numerous",
maormer,maormer,n,Sea Elf,"Lit. ""Sea Elf"""
maormeri,maormeri,adj,,
map,jindu,n,,
maps,jinda,n,,
march,fatu'sekil,n,First Seed,"Abbreviation: ""Fs"""
market,shothi,n,"bazaar, marketplace",
markets,shotha,n,"bazaars, marketplaces",
marriage,rejizeva'a,n,wedding,"Lit. ""tie tails"""
married,rejizevithka,v,,
marry,rejizevith,v,"marries, marrying","Lit. ""to tie-tails"""
martyr,ri'sallidad,n,,Most-honored dead.
martyrs,ri'sallidada,n,,
master,vadajiit,n,mistress,
masters,vadajiit,n,mistresses,
material,batirbo,n,,
materials,batirba,n,,
may,kiz,v,,"Used for expressing possibility, permission, and hope"
may(month),kotu'sekil,n,Second Seed,"Abbreviation: ""Ks"""
maybe,kiva,adv,"perhaps, perchance, possibly",
me,ahziss,pn,,
mead,kirmavato,n,,
meads,kirmavata,n,,
meal,wajo,n,"banquet, feast",
meals,waja,n,"banquets, feasts",
mean,rhogur,adj,"cruel, spiteful",
meanness,rhogurna,n,"cruelty, spite",
meat,jeke,n,flesh,
meats,jeka,n,,
meaty,jeke'i,adj,,
medicine,alkalai,n,remedy,
medicines,alkalai'a,n,remedies,
meet,yato,v,"meets, meeting",To meet
meeting,yatona,n,,A meeting
meetings,yatona'a,n,,
mehrunes,merrunz,n,,Merrunz is the Khajiiti name for Mehrunes Dagon
melt,hetu,v,"melts, melting",
melted,hetuka,v,,
men,ariit,n,"guys, males",
mention,bek,v,"mentions, mentioning",
mentioned,bekka,v,,
meow,mio,v,"meows, meowing",
meowed,mioka,v,,
mephala,mafala,n,,Mafala is the Khajiiti name for Mephala
mercenaries,jihatta,n,sellswords,
mercenary,jihatt,n,sellsword,
merchant,bajiit,n,"shopkeep, shopkeeper, seller, broker, dealer, trader, vendor",
merchants,bajiit,n,"shopkeeps, shopkeepers, sellers, brokers, dealers, traders, vendors",
mercy,dalaa,n,,
met,yatoka,v,,
metal,drelka,n,,
metallic,drelka'i,adj,,
metals,drelka'a,n,,
mice,mibeka,n,rats,
middle,kuma,adj/n,,
midnight,kumatenurr,n,,
might,kizka,v,,
milk,jimetith,v,"milks, milking",To milk
milk,jimetu,n,,The drink
milk-drinker,jimetiit,n,,
milked,jimetithka,v,,
milky,jimetu'i,adj,,
millennia,keleshivata,n,,
millennium,keleshivat,n,,
million,kelemep,n,,
millions,kelemepa,n,,
mine,ahziss,pn,,
minute,wake,n,,
minutes,waka,n,,
mix,womike,v,"mixes, mixing",
mixed,womikeka,v,,
moment,wakai,n,,
moments,wakai'a,n,,
monarch,aa'aran,n,,
monarchies,aa'aranana'a,n,,
monarchs,aa'arana,n,,
monarchy,aa'aranana,n,,
monday,kha'jaypal,n,morndas,"Abbreviation: ""kp"""
money,jah,n,"coin, cash, payment, funds",
moneyless,jahozay,adj,"penniless, broke, destitute",
month,monkat,n,,
months,monkata,n,,
moon,kha'jay,n,,
moons,kha'jay,n,,
more,saa,adv,,"Used for all comparative adjectives (e.g. tall, more tall), comparative not formed with suffix (+er)"
morning,oonpal,n,,
mornings,oonpala,n,,
most,jai,adv,,"Used for all superlative adjectives (e.g. tall, most tall), superlative not formed with suffix (+est)"
mother,fado,n,mom,
mothers,fada,n,moms,
motionless,hai'ozay,adj,"immobile, innert, paralyzed",
motivate,dahai,v,"motivates, motivating, encourage, encourages, encouraging, prompt, prompts, prompting, inspire, inspires, inspiring, spur, spurs, spurring, urge, urges, urging","Lit. ""give movement"""
motivated,dahaika,v,"encouraged, prompted, inspired, spurred, urged",
motivation,dahaina,n,"encouragement, inspiration, urge",
motivations,dahaina'a,n,"encouragements, inspirations, urges",
mountain,khedun,n,,
mountains,kheduna,n,,
mouse,mibek,n,rat,
mouth,boqi,n,maw,
mouths,boqa,n,maws,
